Feature,XGBoost Accuracy,XGBoost Precision,XGBoost Recall,XGBoost F1 Score
"disbursement_date, LMI_type",0.5777777777777777,0.6132231404958678,0.7745302713987474,0.6845018450184502
"disbursement_date, LMI_type",0.5777777777777777,0.6132231404958678,0.7745302713987474,0.6845018450184502
"disbursement_date, revenue",0.6160493827160494,0.6532846715328468,0.7473903966597077,0.6971762414800391
"disbursement_date, revenue",0.6160493827160494,0.6532846715328468,0.7473903966597077,0.6971762414800391
"disbursement_date, full_time_employees",0.5728395061728395,0.6193895870736086,0.7202505219206681,0.666023166023166
"disbursement_date, full_time_employees",0.5728395061728395,0.6193895870736086,0.7202505219206681,0.666023166023166
"disbursement_date, naics_code",0.6370370370370371,0.6735459662288931,0.7494780793319415,0.7094861660079053
"disbursement_date, naics_code",0.6370370370370371,0.6735459662288931,0.7494780793319415,0.7094861660079053
"disbursement_date, jobs_created",0.5814814814814815,0.6211072664359861,0.7494780793319415,0.6792809839167454
"disbursement_date, jobs_created",0.5814814814814815,0.6211072664359861,0.7494780793319415,0.6792809839167454
"disbursement_date, lender_type_category",0.6691358024691358,0.697196261682243,0.778705636743215,0.7357001972386588
"disbursement_date, lender_type_category",0.6691358024691358,0.697196261682243,0.778705636743215,0.7357001972386588
"disbursement_date, optional_primary_use_of_funds",0.6567901234567901,0.6921606118546845,0.755741127348643,0.7225548902195609
"disbursement_date, optional_primary_use_of_funds",0.6567901234567901,0.6921606118546845,0.755741127348643,0.7225548902195609
"disbursement_date, optional_revenue_yr_confirmed",0.7049382716049383,0.7489626556016598,0.7536534446764092,0.7513007284079084
"disbursement_date, optional_revenue_yr_confirmed",0.7049382716049383,0.7489626556016598,0.7536534446764092,0.7513007284079084
"disbursement_date, optional_stage",0.6061728395061728,0.636986301369863,0.7766179540709812,0.6999059266227657
"disbursement_date, optional_stage",0.6061728395061728,0.636986301369863,0.7766179540709812,0.6999059266227657
"disbursement_date, support_amount",0.6950617283950618,0.7078853046594982,0.824634655532359,0.7618129218900674
"disbursement_date, support_amount",0.6950617283950618,0.7078853046594982,0.824634655532359,0.7618129218900674
"loan_investment_amount, lender_insurance_premium",0.6666666666666666,0.6910420475319927,0.7891440501043842,0.7368421052631579
"loan_investment_amount, lender_insurance_premium",0.6666666666666666,0.6910420475319927,0.7891440501043842,0.7368421052631579
"loan_investment_amount, metro_type",0.6358024691358025,0.671003717472119,0.7536534446764092,0.7099311701081611
"loan_investment_amount, metro_type",0.6358024691358025,0.671003717472119,0.7536534446764092,0.7099311701081611
"loan_investment_amount, LMI_type",0.6259259259259259,0.6725490196078432,0.7160751565762005,0.6936299292214358
"loan_investment_amount, LMI_type",0.6259259259259259,0.6725490196078432,0.7160751565762005,0.6936299292214358
"loan_investment_amount, revenue",0.671604938271605,0.6925858951175407,0.7995824634655533,0.7422480620155039
"loan_investment_amount, revenue",0.671604938271605,0.6925858951175407,0.7995824634655533,0.7422480620155039
"loan_investment_amount, full_time_employees",0.6654320987654321,0.703125,0.7515657620041754,0.7265388496468214
"loan_investment_amount, full_time_employees",0.6654320987654321,0.703125,0.7515657620041754,0.7265388496468214
"loan_investment_amount, naics_code",0.6395061728395062,0.6767485822306238,0.7473903966597077,0.7103174603174603
"loan_investment_amount, naics_code",0.6395061728395062,0.6767485822306238,0.7473903966597077,0.7103174603174603
"loan_investment_amount, jobs_created",0.6271604938271605,0.6773547094188377,0.7056367432150313,0.6912065439672801
"loan_investment_amount, jobs_created",0.6271604938271605,0.6773547094188377,0.7056367432150313,0.6912065439672801
"loan_investment_amount, lender_type_category",0.6962962962962963,0.7236084452975048,0.7870563674321504,0.754
"loan_investment_amount, lender_type_category",0.6962962962962963,0.7236084452975048,0.7870563674321504,0.754
"loan_investment_amount, optional_primary_use_of_funds",0.6641975308641975,0.729490022172949,0.6868475991649269,0.7075268817204301
"loan_investment_amount, optional_primary_use_of_funds",0.6641975308641975,0.729490022172949,0.6868475991649269,0.7075268817204301
"loan_investment_amount, optional_revenue_yr_confirmed",0.7185185185185186,0.8024096385542169,0.6951983298538622,0.7449664429530203
"loan_investment_amount, optional_revenue_yr_confirmed",0.7185185185185186,0.8024096385542169,0.6951983298538622,0.7449664429530203
"loan_investment_amount, optional_stage",0.6432098765432098,0.6833976833976834,0.7390396659707724,0.7101303911735204
"loan_investment_amount, optional_stage",0.6432098765432098,0.6833976833976834,0.7390396659707724,0.7101303911735204
"loan_investment_amount, support_amount",0.7382716049382716,0.7338003502626971,0.8747390396659708,0.7980952380952381
"loan_investment_amount, support_amount",0.7382716049382716,0.7338003502626971,0.8747390396659708,0.7980952380952381
"lender_insurance_premium, metro_type",0.6259259259259259,0.6185983827493261,0.9582463465553236,0.7518427518427518
