Feature,Neural Network Accuracy
"unique_id, full_time_employees, optional_primary_use_of_funds",0.8310810923576355
"unique_id, full_time_employees, optional_revenue_yr_confirmed",0.8614864945411682
"unique_id, full_time_employees, optional_revenue_yr_confirmed",0.8614864945411682
"unique_id, full_time_employees, optional_revenue_yr_confirmed",0.8614864945411682
"unique_id, full_time_employees, optional_stage",0.8310810923576355
"unique_id, full_time_employees, optional_stage",0.8310810923576355
"unique_id, full_time_employees, optional_stage",0.8310810923576355
"unique_id, full_time_employees, support_amount",0.8243243098258972
"unique_id, full_time_employees, support_amount",0.8243243098258972
"unique_id, full_time_employees, support_amount",0.8243243098258972
"unique_id, naics_code, jobs_created",0.8277027010917664
"unique_id, naics_code, jobs_created",0.8277027010917664
"unique_id, naics_code, jobs_created",0.8277027010917664
"unique_id, naics_code, lender_type_category",0.8277027010917664
"unique_id, naics_code, lender_type_category",0.8277027010917664
"unique_id, naics_code, lender_type_category",0.8277027010917664
"unique_id, naics_code, optional_primary_use_of_funds",0.8344594836235046
"unique_id, naics_code, optional_primary_use_of_funds",0.8344594836235046
"unique_id, naics_code, optional_primary_use_of_funds",0.8344594836235046
"unique_id, naics_code, optional_revenue_yr_confirmed",0.8614864945411682
"unique_id, naics_code, optional_revenue_yr_confirmed",0.8614864945411682
"unique_id, naics_code, optional_revenue_yr_confirmed",0.8614864945411682
"unique_id, naics_code, optional_stage",0.8344594836235046
"unique_id, naics_code, optional_stage",0.8344594836235046
"unique_id, naics_code, optional_stage",0.8344594836235046
"unique_id, naics_code, support_amount",0.837837815284729
"unique_id, naics_code, support_amount",0.837837815284729
"unique_id, naics_code, support_amount",0.837837815284729
"unique_id, jobs_created, lender_type_category",0.8108108043670654
"unique_id, jobs_created, lender_type_category",0.8108108043670654
"unique_id, jobs_created, lender_type_category",0.8108108043670654
"unique_id, jobs_created, optional_primary_use_of_funds",0.8344594836235046
"unique_id, jobs_created, optional_primary_use_of_funds",0.8344594836235046
"unique_id, jobs_created, optional_primary_use_of_funds",0.8344594836235046
"unique_id, jobs_created, optional_revenue_yr_confirmed",0.8885135054588318
"unique_id, jobs_created, optional_revenue_yr_confirmed",0.8885135054588318
"unique_id, jobs_created, optional_revenue_yr_confirmed",0.8885135054588318
"unique_id, jobs_created, optional_stage",0.8243243098258972
"unique_id, jobs_created, optional_stage",0.8243243098258972
"unique_id, jobs_created, optional_stage",0.8243243098258972
"unique_id, jobs_created, support_amount",0.8310810923576355
"unique_id, jobs_created, support_amount",0.8310810923576355
"unique_id, jobs_created, support_amount",0.8310810923576355
"unique_id, lender_type_category, optional_primary_use_of_funds",0.8716216087341309
"unique_id, lender_type_category, optional_primary_use_of_funds",0.8716216087341309
"unique_id, lender_type_category, optional_primary_use_of_funds",0.8716216087341309
"unique_id, lender_type_category, optional_revenue_yr_confirmed",0.8851351141929626
"unique_id, lender_type_category, optional_revenue_yr_confirmed",0.8851351141929626
"unique_id, lender_type_category, optional_revenue_yr_confirmed",0.8851351141929626
"unique_id, lender_type_category, optional_stage",0.8175675868988037
"unique_id, lender_type_category, optional_stage",0.8175675868988037
"unique_id, lender_type_category, optional_stage",0.8175675868988037
"unique_id, lender_type_category, support_amount",0.837837815284729
"unique_id, lender_type_category, support_amount",0.837837815284729
"unique_id, lender_type_category, support_amount",0.837837815284729
"unique_id, optional_primary_use_of_funds, optional_revenue_yr_confirmed",0.8952702879905701
"unique_id, optional_primary_use_of_funds, optional_revenue_yr_confirmed",0.8952702879905701
"unique_id, optional_primary_use_of_funds, optional_revenue_yr_confirmed",0.8952702879905701
"unique_id, optional_primary_use_of_funds, optional_stage",0.8344594836235046
"unique_id, optional_primary_use_of_funds, optional_stage",0.8344594836235046
"unique_id, optional_primary_use_of_funds, optional_stage",0.8344594836235046
"unique_id, optional_primary_use_of_funds, support_amount",0.8445945978164673
"unique_id, optional_primary_use_of_funds, support_amount",0.8445945978164673
"unique_id, optional_primary_use_of_funds, support_amount",0.8445945978164673
"unique_id, optional_revenue_yr_confirmed, optional_stage",0.9054054021835327
"unique_id, optional_revenue_yr_confirmed, optional_stage",0.9054054021835327
"unique_id, optional_revenue_yr_confirmed, optional_stage",0.9054054021835327
"unique_id, optional_revenue_yr_confirmed, support_amount",0.8581081032752991
"unique_id, optional_revenue_yr_confirmed, support_amount",0.8581081032752991
"unique_id, optional_revenue_yr_confirmed, support_amount",0.8581081032752991
"unique_id, optional_stage, support_amount",0.8344594836235046
"unique_id, optional_stage, support_amount",0.8344594836235046
"unique_id, optional_stage, support_amount",0.8344594836235046
"disbursement_date, loan_investment_amount, lender_insurance_premium",0.6216216087341309
"disbursement_date, loan_investment_amount, lender_insurance_premium",0.6216216087341309
"disbursement_date, loan_investment_amount, lender_insurance_premium",0.6216216087341309
"disbursement_date, loan_investment_amount, metro_type",0.6959459185600281
"disbursement_date, loan_investment_amount, metro_type",0.6959459185600281
"disbursement_date, loan_investment_amount, metro_type",0.6959459185600281
"disbursement_date, loan_investment_amount, LMI_type",0.625
"disbursement_date, loan_investment_amount, LMI_type",0.625
"disbursement_date, loan_investment_amount, LMI_type",0.625
"disbursement_date, loan_investment_amount, revenue",0.6554054021835327
"disbursement_date, loan_investment_amount, revenue",0.6554054021835327
"disbursement_date, loan_investment_amount, revenue",0.6554054021835327
"disbursement_date, loan_investment_amount, full_time_employees",0.6554054021835327
