Feature,Logistic Regression Accuracy,Logistic Regression Precision,Logistic Regression Recall,Logistic Regression F1 Score
"loan_investment_amount, LMI_type",0.625,0.7391304347826086,0.43870967741935485,0.5506072874493927
"loan_investment_amount, LMI_type",0.625,0.7391304347826086,0.43870967741935485,0.5506072874493927
"loan_investment_amount, revenue",0.6114864864864865,0.7380952380952381,0.4,0.5188284518828452
"loan_investment_amount, revenue",0.6114864864864865,0.7380952380952381,0.4,0.5188284518828452
"loan_investment_amount, full_time_employees",0.6182432432432432,0.7692307692307693,0.3870967741935484,0.5150214592274679
"loan_investment_amount, full_time_employees",0.6182432432432432,0.7692307692307693,0.3870967741935484,0.5150214592274679
"loan_investment_amount, naics_code",0.6216216216216216,0.7654320987654321,0.4,0.5254237288135594
"loan_investment_amount, naics_code",0.6216216216216216,0.7654320987654321,0.4,0.5254237288135594
"loan_investment_amount, jobs_created",0.6148648648648649,0.7530864197530864,0.3935483870967742,0.516949152542373
"loan_investment_amount, jobs_created",0.6148648648648649,0.7530864197530864,0.3935483870967742,0.516949152542373
"loan_investment_amount, lender_type_category",0.7094594594594594,0.776,0.6258064516129033,0.692857142857143
"loan_investment_amount, lender_type_category",0.7094594594594594,0.776,0.6258064516129033,0.692857142857143
"loan_investment_amount, optional_primary_use_of_funds",0.7331081081081081,0.9318181818181818,0.5290322580645161,0.6748971193415638
"loan_investment_amount, optional_primary_use_of_funds",0.7331081081081081,0.9318181818181818,0.5290322580645161,0.6748971193415638
"loan_investment_amount, optional_revenue_yr_confirmed",0.7804054054054054,0.9090909090909091,0.6451612903225806,0.7547169811320754
"loan_investment_amount, optional_revenue_yr_confirmed",0.7804054054054054,0.9090909090909091,0.6451612903225806,0.7547169811320754
"loan_investment_amount, optional_stage",0.6554054054054054,0.8271604938271605,0.432258064516129,0.5677966101694915
"loan_investment_amount, optional_stage",0.6554054054054054,0.8271604938271605,0.432258064516129,0.5677966101694915
"loan_investment_amount, support_amount",0.7972972972972973,0.8187919463087249,0.7870967741935484,0.8026315789473685
"loan_investment_amount, support_amount",0.7972972972972973,0.8187919463087249,0.7870967741935484,0.8026315789473685
"lender_insurance_premium, metro_type",0.5844594594594594,0.8478260869565217,0.25161290322580643,0.3880597014925372
"lender_insurance_premium, metro_type",0.5844594594594594,0.8478260869565217,0.25161290322580643,0.3880597014925372
"lender_insurance_premium, LMI_type",0.48986486486486486,0.5178571428571429,0.3741935483870968,0.4344569288389514
"lender_insurance_premium, LMI_type",0.48986486486486486,0.5178571428571429,0.3741935483870968,0.4344569288389514
"lender_insurance_premium, revenue",0.5033783783783784,0.5606060606060606,0.23870967741935484,0.334841628959276
"lender_insurance_premium, revenue",0.5033783783783784,0.5606060606060606,0.23870967741935484,0.334841628959276
"lender_insurance_premium, full_time_employees",0.4966216216216216,0.5357142857142857,0.2903225806451613,0.3765690376569037
"lender_insurance_premium, full_time_employees",0.4966216216216216,0.5357142857142857,0.2903225806451613,0.3765690376569037
"lender_insurance_premium, naics_code",0.5304054054054054,0.5701754385964912,0.41935483870967744,0.483271375464684
"lender_insurance_premium, naics_code",0.5304054054054054,0.5701754385964912,0.41935483870967744,0.483271375464684
"lender_insurance_premium, jobs_created",0.48986486486486486,0.53125,0.21935483870967742,0.3105022831050228
"lender_insurance_premium, jobs_created",0.48986486486486486,0.53125,0.21935483870967742,0.3105022831050228
"lender_insurance_premium, lender_type_category",0.6486486486486487,0.7142857142857143,0.5483870967741935,0.6204379562043795
"lender_insurance_premium, lender_type_category",0.6486486486486487,0.7142857142857143,0.5483870967741935,0.6204379562043795
"lender_insurance_premium, optional_primary_use_of_funds",0.6925675675675675,0.9705882352941176,0.4258064516129032,0.5919282511210762
"lender_insurance_premium, optional_primary_use_of_funds",0.6925675675675675,0.9705882352941176,0.4258064516129032,0.5919282511210762
"lender_insurance_premium, optional_revenue_yr_confirmed",0.7466216216216216,0.9347826086956522,0.5548387096774193,0.6963562753036437
"lender_insurance_premium, optional_revenue_yr_confirmed",0.7466216216216216,0.9347826086956522,0.5548387096774193,0.6963562753036437
"lender_insurance_premium, optional_stage",0.5202702702702703,0.8095238095238095,0.10967741935483871,0.1931818181818182
"lender_insurance_premium, optional_stage",0.5202702702702703,0.8095238095238095,0.10967741935483871,0.1931818181818182
"lender_insurance_premium, support_amount",0.706081081081081,0.6808510638297872,0.8258064516129032,0.7463556851311953
"lender_insurance_premium, support_amount",0.706081081081081,0.6808510638297872,0.8258064516129032,0.7463556851311953
"metro_type, LMI_type",0.5844594594594594,0.8478260869565217,0.25161290322580643,0.3880597014925372
"metro_type, LMI_type",0.5844594594594594,0.8478260869565217,0.25161290322580643,0.3880597014925372
"metro_type, revenue",0.6148648648648649,0.8596491228070176,0.3161290322580645,0.4622641509433962
"metro_type, revenue",0.6148648648648649,0.8596491228070176,0.3161290322580645,0.4622641509433962
"metro_type, full_time_employees",0.5844594594594594,0.8478260869565217,0.25161290322580643,0.3880597014925372
"metro_type, full_time_employees",0.5844594594594594,0.8478260869565217,0.25161290322580643,0.3880597014925372
"metro_type, naics_code",0.5844594594594594,0.8478260869565217,0.25161290322580643,0.3880597014925372
"metro_type, naics_code",0.5844594594594594,0.8478260869565217,0.25161290322580643,0.3880597014925372
"metro_type, jobs_created",0.5878378378378378,0.8113207547169812,0.27741935483870966,0.4134615384615385
"metro_type, jobs_created",0.5878378378378378,0.8113207547169812,0.27741935483870966,0.4134615384615385
