unique_id,disbursement_date,loan_investment_amount,lender_insurance_premium,metro_type,LMI_type,revenue,full_time_employees,naics_code,jobs_created,lender_type_category,optional_primary_use_of_funds,optional_revenue_yr_confirmed,optional_stage,target
622,816,1286873.27,0.0,0,1,927147.0,20.0,721110,35.0,0,0,2014.0,0,0
845,204,1800000.0,0.0,1,0,5787000.0,70.0,336612,15.0,4,3,2013.0,0,1
1384,734,4820113.0,0.0,0,1,13501828.0,47.0,334419,18.0,3,0,2013.0,0,0
1391,11,45000.0,0.0,1,1,1370212.0,16.0,326140,2.0,3,1,2015.0,0,0
1322,502,4950000.0,0.0,0,1,9798075.0,27.0,312140,12.0,0,1,2015.0,0,1
1401,667,4150000.0,0.0,1,1,20600000.0,179.0,315110,133.0,3,1,2015.0,0,0
1474,309,500000.0,0.0,1,1,5302293.0,41.0,213112,7.5,0,4,2014.0,0,1
1003,348,999900.0,0.0,1,1,1860000.0,40.0,713930,25.0,0,2,2012.0,0,0
284,609,1010000.0,0.0,0,0,4779505.0,35.0,562211,20.0,0,4,2014.0,0,0
1317,399,755000.0,0.0,0,1,15700000.0,80.0,238910,30.0,0,4,2012.0,0,1
75,287,50000.0,0.0,0,0,796250.0,28.0,315210,0.0,0,4,2014.0,0,0
416,621,350000.0,0.0,0,1,3800000.0,31.0,238140,10.0,0,4,2014.0,0,0
334,122,250000.0,0.0,0,0,1255000.0,16.0,238220,3.0,0,4,2014.0,0,0
980,450,301515.0,0.0,0,0,594921.0,17.0,722513,15.0,0,4,2014.0,0,1
644,808,350000.0,0.0,0,1,600000.0,26.0,238210,5.0,3,4,2014.0,0,1
854,449,175000.0,0.0,1,0,3471000.0,180.0,484121,5.0,2,1,2015.0,0,1
1022,219,2486293.0,0.0,0,0,2012000.0,18.0,722511,11.0,0,0,2015.0,0,0
750,309,40000.0,0.0,0,1,0.0,32.0,623312,14.0,3,4,2014.0,0,0
1445,70,2115000.0,0.0,1,0,19424158.0,32.5,445110,0.0,2,2,2016.0,0,1
217,345,50000.0,0.0,0,1,1746000.0,17.0,722511,15.0,2,4,2014.0,0,0
1342,494,400000.0,0.0,1,1,6163000.0,26.0,424420,2.0,0,3,2014.0,0,1
621,224,500000.0,0.0,0,0,670521.0,25.0,321999,7.0,3,4,2014.0,0,1
277,31,700000.0,0.0,0,0,9234752.0,62.0,484220,10.0,0,4,2014.0,0,0
1288,849,598153.86,0.0,1,1,589201.0,20.0,511210,8.0,2,4,2016.0,1,0
532,403,1000000.0,0.0,0,0,17613309.0,18.0,236115,51.4,0,4,2016.0,0,1
379,488,100000.0,0.0,0,1,588729.0,17.0,722511,11.0,2,4,2014.0,0,0
435,744,200000.0,0.0,0,1,0.0,34.0,334413,7.0,0,4,2014.0,0,0
1434,228,600000.0,0.0,0,0,3783776.0,15.0,238220,0.0,2,4,2015.0,0,0
1321,301,100000.0,0.0,0,0,10301000.0,20.0,561720,20.0,0,4,2015.0,0,1
1379,295,1002231.0,0.0,0,1,2400000.0,41.0,722511,18.0,3,0,2015.0,0,0
1419,777,803624.0,0.0,0,1,920674.0,48.0,722511,23.0,0,0,2015.0,0,1
546,799,200000.0,2500.0,0,0,2692000.0,15.0,561990,60.0,0,4,2014.0,0,0
1468,737,2498378.0,0.0,1,1,12848690.0,16.0,441120,2.5,0,3,2013.0,0,1
670,548,700000.0,0.0,0,1,1265475.0,15.0,541330,0.0,2,4,2014.0,0,0
203,831,275000.0,0.0,0,0,3715000.0,24.0,238210,8.0,0,4,2014.0,0,0
641,757,200000.0,0.0,0,1,3200000.0,48.0,561730,0.0,3,4,2014.0,0,1
539,96,150000.0,0.0,0,1,3589331.0,35.0,722310,5.0,0,0,2016.0,0,1
539,96,150000.0,0.0,0,1,3589331.0,35.0,722310,5.0,0,0,2016.0,0,1
981,561,250000.0,0.0,1,1,533388.0,20.0,722511,5.0,0,4,2014.0,0,1
887,118,621270.0,0.0,0,1,2965120.0,32.0,238210,3.0,0,4,2014.0,0,1
1202,217,1500000.0,0.0,0,1,4074000.0,49.0,311920,10.0,0,1,2016.0,0,1
1340,416,1840000.0,0.0,1,1,2279955.0,21.0,621492,13.0,0,4,2016.0,0,1
693,737,412500.0,0.0,0,1,13842211.0,90.0,445110,20.0,0,1,2013.0,0,1
951,84,200000.0,0.0,0,1,19867529.0,94.0,332322,0.0,3,4,2014.0,0,0
444,827,1000000.0,0.0,0,1,10910000.0,65.0,332323,5.0,0,4,2014.0,0,0
1337,334,215000.0,0.0,1,1,3053428.0,23.0,621210,0.0,0,3,2014.0,0,1
650,845,250000.0,0.0,1,1,2677478.0,25.0,444210,1.0,0,1,2012.0,0,1
642,757,300000.0,0.0,0,1,0.0,15.0,238990,0.0,3,4,2014.0,0,1
1203,256,200000.0,0.0,1,0,0.0,17.0,532120,0.0,0,1,2014.0,0,1
991,477,450000.0,0.0,1,1,3841181.0,50.0,541990,30.0,0,3,2012.0,0,0
1223,815,12700000.0,0.0,0,1,17488998.0,89.0,332312,200.0,2,0,2015.0,0,0
1023,466,1313000.0,0.0,0,1,1708887.0,30.0,445110,24.0,2,4,2016.0,0,0
972,606,25000.0,0.0,1,1,196535.0,15.0,562998,10.0,3,4,2016.0,0,1
871,470,1250000.0,0.0,1,1,4700000.0,34.0,721110,2.0,0,0,2016.0,0,1
453,88,223200.0,0.0,0,1,8854604.0,15.0,722513,15.0,0,4,2014.0,0,0
656,393,504000.0,0.0,1,1,882969.0,40.0,722511,19.0,0,0,2015.0,0,1
844,67,1300000.0,0.0,0,1,1350417.0,44.0,624410,0.0,0,3,2013.0,0,1
1314,650,2700000.0,0.0,0,1,2300000.0,17.0,334413,2.0,2,4,2016.0,1,0
1341,457,286000.0,0.0,1,1,5302000.0,15.0,447110,0.0,0,3,2014.0,0,1
852,372,750000.0,0.0,1,0,0.0,35.0,321918,17.0,2,1,2015.0,0,1
902,571,350000.0,0.0,0,0,2537355.0,18.0,541990,2.0,2,4,2014.0,0,1
538,23,750000.0,0.0,0,1,5604373.0,63.0,238140,4.0,0,4,2016.0,0,1
1340,416,1840000.0,0.0,1,1,2279955.0,21.0,621492,13.0,0,4,2016.0,0,1
58,79,750000.0,0.0,0,1,7093000.0,144.0,561311,136.0,0,4,2014.0,0,0
541,566,2500000.0,0.0,0,0,8400000.0,20.0,221114,3.0,0,1,2016.0,0,1
1269,98,1600000.0,0.0,0,1,5973191.0,42.0,541380,0.0,0,4,2014.0,0,0
912,753,10000000.0,0.0,0,0,18719932.0,92.0,511210,52.0,2,4,2015.0,0,0
522,618,391500.0,0.0,0,1,2385798.0,47.0,621610,0.0,0,2,2016.0,0,1
164,491,137500.0,0.0,0,1,702000.0,45.0,541990,0.0,0,4,2014.0,0,0
786,450,250000.0,3250.0,0,1,4000000.0,16.0,332994,0.0,0,1,2014.0,0,0
845,204,1800000.0,0.0,1,0,5787000.0,70.0,336612,15.0,4,3,2013.0,0,1
842,481,47500.0,0.0,1,1,1800000.0,27.0,237130,4.0,2,4,2012.0,0,1
900,398,225000.0,0.0,0,1,3113227.0,16.0,453998,0.0,0,4,2011.0,0,1
972,606,25000.0,0.0,1,1,196535.0,15.0,562998,10.0,3,4,2016.0,0,1
695,765,2000000.0,0.0,0,1,7290000.0,30.0,541810,15.0,0,4,2013.0,0,1
1326,519,3000000.0,0.0,0,1,10752792.0,165.0,332999,26.0,0,4,2015.0,0,1
260,561,410200.0,0.0,0,0,1428955.0,60.0,111219,10.0,0,4,2014.0,0,0
184,723,250000.0,0.0,0,0,761733.0,44.0,339920,4.0,0,4,2014.0,0,0
467,214,940000.0,0.0,0,1,1043000.0,20.0,312120,0.0,2,4,2014.0,0,0
552,614,3210450.0,0.0,0,1,37000000.0,38.0,323113,0.0,0,4,2012.0,0,0
679,838,600000.0,0.0,0,1,148720.0,30.0,531120,6.0,0,2,2012.0,0,0
641,757,200000.0,0.0,0,1,3200000.0,48.0,561730,0.0,3,4,2014.0,0,1
173,302,100000.0,0.0,0,1,1729000.0,18.0,445110,0.0,0,4,2014.0,0,0
428,688,200000.0,0.0,0,1,9327000.0,42.0,221114,0.0,2,4,2014.0,0,0
1200,123,2480000.0,0.0,0,1,0.0,19.0,447110,0.0,0,2,2016.0,0,1
