unique_id,disbursement_date,loan_investment_amount,lender_insurance_premium,metro_type,LMI_type,revenue,full_time_employees,naics_code,jobs_created,lender_type_category,optional_primary_use_of_funds,optional_revenue_yr_confirmed,optional_stage,target
876,7,525000.0,0.0,1,0,44200000.0,581.0,621420,0.0,0,2,2016.0,0,1
1435,265,750000.0,0.0,0,0,0.0,50.0,336412,10.0,2,1,2015.0,0,0
1417,780,2334743.0,0.0,0,0,3164160.0,30.0,332812,30.0,2,1,2013.0,0,0
631,304,200000.0,0.0,0,1,0.0,17.0,511210,4.0,3,4,2014.0,0,1
1095,203,735000.0,0.0,0,1,7512000.0,44.0,423830,4.0,0,4,2014.0,0,0
864,771,270000.0,0.0,1,0,3346284.0,92.0,484121,2.0,4,1,2015.0,0,1
364,228,400000.0,0.0,0,1,2272000.0,44.0,424490,25.0,0,4,2014.0,0,0
601,454,300000.0,0.0,0,1,3000000.0,20.0,236210,2.0,3,4,2014.0,0,0
1082,480,250000.0,3750.0,0,1,224231.0,34.0,541213,41.0,0,4,2014.0,0,0
759,366,1528000.0,0.0,0,1,4491000.0,28.0,322121,7.0,0,2,2016.0,0,0
496,382,100000.0,0.0,0,1,795313.0,16.0,541810,4.0,0,4,2014.0,0,0
372,354,225000.0,0.0,0,0,7905000.0,75.0,811192,0.0,0,4,2014.0,0,0
970,718,125000.0,0.0,1,1,2008210.0,44.0,722320,4.0,0,4,2016.0,0,1
980,450,301515.0,0.0,0,0,594921.0,17.0,722513,15.0,0,4,2014.0,0,1
517,395,348800.0,0.0,1,0,2181000.0,15.0,236220,1.0,0,3,2013.0,0,1
21,463,813000.0,0.0,0,0,0.0,16.0,236220,15.0,0,4,2014.0,0,0
588,163,200000.0,0.0,0,1,800000.0,18.0,532420,8.0,3,4,2014.0,0,0
629,176,350000.0,0.0,0,1,0.0,17.0,313310,0.0,3,4,2014.0,0,1
301,674,250000.0,0.0,0,1,4384816.0,15.0,624190,5.0,0,4,2014.0,0,0
1202,217,1500000.0,0.0,0,1,4074000.0,49.0,311920,10.0,0,1,2016.0,0,1
1060,383,600000.0,0.0,0,1,241900.0,15.0,425120,12.0,2,4,2016.0,4,0
231,205,3208500.0,0.0,0,1,0.0,35.0,531120,25.0,0,4,2014.0,0,0
342,101,2000000.0,0.0,0,1,3319000.0,71.0,722410,6.0,0,4,2014.0,0,0
238,244,250000.0,0.0,0,0,1288573.0,20.0,236220,10.0,0,4,2014.0,0,0
755,372,3000000.0,0.0,0,1,5762000.0,150.0,561450,150.0,0,4,2017.0,0,0
842,481,47500.0,0.0,1,1,1800000.0,27.0,237130,4.0,2,4,2012.0,0,1
208,62,50000.0,0.0,0,1,1564000.0,21.0,238990,6.0,0,4,2014.0,0,0
1475,616,1286000.0,0.0,0,0,4984313.0,19.0,621111,3.0,0,2,2016.0,0,1
