Feature,XGBoost Accuracy,XGBoost Precision,XGBoost Recall,XGBoost F1 Score
"lender_type_category, optional_primary_use_of_funds",0.8209459459459459,0.8227848101265823,0.8387096774193549,0.8306709265175719
"lender_type_category, optional_revenue_yr_confirmed",0.8344594594594594,0.83125,0.8580645161290322,0.8444444444444443
"lender_type_category, optional_revenue_yr_confirmed",0.8344594594594594,0.83125,0.8580645161290322,0.8444444444444443
"lender_type_category, optional_stage",0.668918918918919,0.7614678899082569,0.535483870967742,0.6287878787878788
"lender_type_category, optional_stage",0.668918918918919,0.7614678899082569,0.535483870967742,0.6287878787878788
"lender_type_category, support_amount",0.793918918918919,0.821917808219178,0.7741935483870968,0.7973421926910298
"lender_type_category, support_amount",0.793918918918919,0.821917808219178,0.7741935483870968,0.7973421926910298
"optional_primary_use_of_funds, optional_revenue_yr_confirmed",0.8986486486486487,0.9194630872483222,0.8838709677419355,0.9013157894736842
"optional_primary_use_of_funds, optional_revenue_yr_confirmed",0.8986486486486487,0.9194630872483222,0.8838709677419355,0.9013157894736842
"optional_primary_use_of_funds, optional_stage",0.7398648648648649,0.9431818181818182,0.535483870967742,0.6831275720164609
"optional_primary_use_of_funds, optional_stage",0.7398648648648649,0.9431818181818182,0.535483870967742,0.6831275720164609
"optional_primary_use_of_funds, support_amount",0.8614864864864865,0.8607594936708861,0.8774193548387097,0.8690095846645367
"optional_primary_use_of_funds, support_amount",0.8614864864864865,0.8607594936708861,0.8774193548387097,0.8690095846645367
"optional_revenue_yr_confirmed, optional_stage",0.8378378378378378,0.9212598425196851,0.7548387096774194,0.8297872340425532
"optional_revenue_yr_confirmed, optional_stage",0.8378378378378378,0.9212598425196851,0.7548387096774194,0.8297872340425532
"optional_revenue_yr_confirmed, support_amount",0.8986486486486487,0.8881987577639752,0.9225806451612903,0.9050632911392404
"optional_revenue_yr_confirmed, support_amount",0.8986486486486487,0.8881987577639752,0.9225806451612903,0.9050632911392404
"optional_stage, support_amount",0.8006756756756757,0.8428571428571429,0.7612903225806451,0.7999999999999999
"optional_stage, support_amount",0.8006756756756757,0.8428571428571429,0.7612903225806451,0.7999999999999999
"unique_id, disbursement_date, loan_investment_amount",0.9324324324324325,0.9192546583850931,0.9548387096774194,0.9367088607594936
"unique_id, disbursement_date, loan_investment_amount",0.9324324324324325,0.9192546583850931,0.9548387096774194,0.9367088607594936
"unique_id, disbursement_date, loan_investment_amount",0.9324324324324325,0.9192546583850931,0.9548387096774194,0.9367088607594936
"unique_id, disbursement_date, lender_insurance_premium",0.9324324324324325,0.9141104294478528,0.9612903225806452,0.9371069182389937
"unique_id, disbursement_date, lender_insurance_premium",0.9324324324324325,0.9141104294478528,0.9612903225806452,0.9371069182389937
"unique_id, disbursement_date, lender_insurance_premium",0.9324324324324325,0.9141104294478528,0.9612903225806452,0.9371069182389937
"unique_id, disbursement_date, metro_type",0.9290540540540541,0.9135802469135802,0.9548387096774194,0.9337539432176656
"unique_id, disbursement_date, metro_type",0.9290540540540541,0.9135802469135802,0.9548387096774194,0.9337539432176656
"unique_id, disbursement_date, metro_type",0.9290540540540541,0.9135802469135802,0.9548387096774194,0.9337539432176656
"unique_id, disbursement_date, LMI_type",0.9222972972972973,0.9074074074074074,0.9483870967741935,0.9274447949526814
"unique_id, disbursement_date, LMI_type",0.9222972972972973,0.9074074074074074,0.9483870967741935,0.9274447949526814
"unique_id, disbursement_date, LMI_type",0.9222972972972973,0.9074074074074074,0.9483870967741935,0.9274447949526814
"unique_id, disbursement_date, revenue",0.9155405405405406,0.9113924050632911,0.9290322580645162,0.9201277955271565
"unique_id, disbursement_date, revenue",0.9155405405405406,0.9113924050632911,0.9290322580645162,0.9201277955271565
"unique_id, disbursement_date, revenue",0.9155405405405406,0.9113924050632911,0.9290322580645162,0.9201277955271565
"unique_id, disbursement_date, full_time_employees",0.9155405405405406,0.9113924050632911,0.9290322580645162,0.9201277955271565
