unique_id,disbursement_date,ssbci_original_funds,lender_insurance_premium,metro_type,LMI_type,revenue,naics_code,jobs_created,jobs_retained,lender_type_category,optional_primary_use_of_funds,optional_revenue_yr_confirmed,optional_stage,active_status,support_amount,full_time_employees
AL_2014_LGP_100,10/6/2014,0.0,0.0,Metro,LMI,353754.0,541310,27.0,45.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,250000.0,45.0
AL_2014_LGP_102,10/14/2014,0.0,0.0,Metro,Non-LMI,3442995.0,332710,0.0,40.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,100000.0,40.0
AL_2014_LGP_104,10/16/2014,0.0,0.0,Metro,Non-LMI,102780000.0,447110,0.0,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,1250000.0,190.0
AL_2014_LGP_105,10/16/2014,0.0,0.0,Metro,Non-LMI,102780000.0,447110,10.0,10.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,750000.0,190.0
AL_2014_LGP_109,10/24/2014,0.0,0.0,Non-Metro,LMI,505762.0,237310,0.0,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,25000.0,21.0
AL_2014_LGP_124,12/3/2014,0.0,0.0,Non-Metro,Non-LMI,3541949.0,445230,10.0,35.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,50000.0,35.0
AL_2015_LGP_3,1/2/2015,0.0,0.0,Non-Metro,Non-LMI,1000000.0,722511,0.0,15.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,400000.0,15.0
AL_2015_LGP_7,1/13/2015,0.0,0.0,Metro,LMI,11948000.0,423440,5.0,100.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,250000.0,100.0
AL_2015_LGP_25,3/13/2015,0.0,0.0,Metro,Non-LMI,2144733.0,424810,4.0,6.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,52500.0,22.0
AL_2015_LGP_31,3/24/2015,0.0,0.0,Metro,LMI,2748214.0,722513,0.0,41.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,150000.0,46.0
AL_2015_LGP_44,4/29/2015,0.0,0.0,Metro,LMI,919297.0,811219,4.0,6.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,60000.0,15.0
AL_2015_LGP_46,5/1/2015,0.0,0.0,Metro,Non-LMI,3404000.0,424490,0.0,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,37500.0,37.0
AL_2015_LGP_52,5/21/2015,0.0,0.0,Non-Metro,LMI,3374481.0,484121,3.0,35.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,418364.0,35.0
AL_2015_LGP_55,5/29/2015,0.0,0.0,Non-Metro,Non-LMI,2290115.0,332710,4.0,20.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,50000.0,20.0
AL_2015_LGP_61,7/1/2015,0.0,0.0,Metro,LMI,3616137.97,621498,10.0,5.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,58360.0,49.0
AL_2015_LGP_65,7/14/2015,0.0,0.0,Metro,LMI,3256000.0,442299,5.0,20.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,75000.0,20.0
AL_2015_LGP_68,7/21/2015,0.0,0.0,Metro,Non-LMI,7245677.0,424930,0.0,90.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,707500.0,90.0
AL_2015_LGP_69,7/23/2015,0.0,0.0,Metro,LMI,3494000.0,531110,0.0,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,100000.0,18.0
AL_2015_LGP_70,7/23/2015,0.0,0.0,Metro,Non-LMI,3000000.0,722511,85.0,0.0,Credit Union,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,137500.0,30.0
AL_2015_LGP_72,7/24/2015,0.0,0.0,Non-Metro,LMI,362240.0,488410,1.0,4.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,60000.0,18.0
AL_2015_LGP_86,8/20/2015,0.0,0.0,Metro,LMI,3616137.97,621498,0.0,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,130000.0,49.0
AL_2015_LGP_90,8/25/2015,0.0,0.0,Metro,LMI,919297.0,811219,5.0,4.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,50000.0,15.0
AL_2015_LGP_94,9/4/2015,0.0,0.0,Metro,LMI,7162728.0,238150,0.0,48.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,375000.0,48.0
AL_2015_LGP_97,9/21/2015,0.0,0.0,Metro,Non-LMI,6990947.0,442210,0.0,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,450000.0,17.0
AL_2015_LGP_105,10/1/2015,0.0,0.0,Non-Metro,Non-LMI,1985239.0,423390,0.0,5.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,50000.0,20.0
AL_2015_LGP_108,10/1/2015,0.0,0.0,Metro,LMI,33652190.0,441110,10.0,58.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,2500000.0,58.0
AL_2015_LGP_113,10/14/2015,0.0,0.0,Non-Metro,Non-LMI,0.0,445110,0.0,47.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,60000.0,47.0
AL_2015_LGP_124,11/3/2015,0.0,0.0,Metro,Non-LMI,2096606.0,238220,4.0,14.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,206250.0,40.0
AL_2015_LGP_132,11/18/2015,0.0,0.0,Non-Metro,Non-LMI,19652142.0,811192,2.0,13.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,969825.27,15.0
AL_2015_LGP_138,11/19/2015,0.0,0.0,Metro,Non-LMI,2096606.0,238220,7.0,10.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,162500.0,40.0
AL_2015_LGP_141,11/25/2015,0.0,0.0,Metro,LMI,5889000.0,238990,8.0,45.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,250000.0,45.0
AL_2015_LGP_149,12/17/2015,0.0,0.0,Metro,LMI,3494000.0,238110,0.0,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,75000.0,18.0
AL_2016_LGP_1,1/12/2016,0.0,0.0,Metro,LMI,3494000.0,238110,7.0,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,50000.0,18.0
AL_2016_LGP_20,3/11/2016,0.0,0.0,Non-Metro,Non-LMI,9126000.0,446130,0.0,40.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,150000.0,40.0
AL_2016_LGP_23,3/14/2016,0.0,0.0,Metro,LMI,5900000000.0,541990,5.0,3.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,84000.0,27.0
AL_2016_LGP_25,3/14/2016,0.0,0.0,Metro,Non-LMI,0.0,423610,8.0,2.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,177500.0,23.0
AL_2016_LGP_40,4/18/2016,0.0,0.0,Non-Metro,Non-LMI,0.0,722511,2.0,20.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,271875.0,20.0
AL_2016_LGP_43,4/19/2016,0.0,0.0,Metro,LMI,9200000.0,321992,0.0,119.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,350000.0,119.0
AL_2016_LGP_47,4/22/2016,0.0,0.0,Metro,Non-LMI,6248640.0,238990,0.0,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,1638736.0,45.0
AL_2016_LGP_56,5/10/2016,0.0,0.0,Metro,LMI,5900000.0,541990,4.0,4.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,75000.0,27.0
AL_2016_LGP_60,5/23/2016,0.0,0.0,Metro,LMI,1357919.0,334511,0.0,18.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,303750.0,18.0
AL_2016_LGP_62,5/24/2016,0.0,0.0,Metro,Non-LMI,8161410.0,445110,0.0,20.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,460000.0,20.0
AL_2016_LGP_71,6/8/2016,0.0,0.0,Metro,LMI,3213660.0,532490,0.0,28.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,100000.0,28.0
AL_2016_LGP_76,6/10/2016,0.0,0.0,Metro,Non-LMI,4020000.0,621999,0.0,3.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,475000.0,24.0
AL_2016_LGP_78,6/10/2016,0.0,0.0,Metro,Non-LMI,3404000.0,424490,0.0,4.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,82500.0,30.0
AL_2016_LGP_79,6/21/2016,0.0,0.0,Non-Metro,Non-LMI,857745.0,561740,10.0,5.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,50000.0,15.0
AL_2016_LGP_87,6/30/2016,0.0,0.0,Non-Metro,Non-LMI,798145.0,624410,0.0,21.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,106250.0,21.0
AL_2016_LGP_94,7/6/2016,0.0,0.0,Non-Metro,Non-LMI,2323242.0,332710,0.0,24.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,75000.0,24.0
AL_2016_LGP_99,7/15/2016,0.0,0.0,Metro,LMI,1951000.0,238990,28.0,48.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,250000.0,28.0
AL_2016_LGP_102,7/21/2016,0.0,0.0,Metro,LMI,2263190.0,713940,0.0,63.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,50000.0,63.0
AL_2016_LGP_110,7/29/2016,0.0,0.0,Metro,Non-LMI,0.0,722511,5.0,45.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,75000.0,45.0
AL_2016_LGP_117,8/12/2016,0.0,0.0,Metro,LMI,45579694.0,212112,15.0,70.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,2000000.0,70.0
AL_2016_LGP_121,8/16/2016,0.0,0.0,Metro,Non-LMI,0.0,722513,30.0,20.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,440000.0,20.0
AL_2016_LGP_126,8/29/2016,0.0,0.0,Metro,LMI,7919611.0,327211,0.0,48.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,375000.0,48.0
AL_2016_LGP_140,9/22/2016,0.0,0.0,Metro,LMI,2386000.0,722511,15.0,25.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,500000.0,25.0
AL_2016_LGP_141,9/28/2016,0.0,0.0,Non-Metro,Non-LMI,0.0,722511,75.0,40.0,Credit Union,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,162500.0,40.0
AL_2016_LGP_143,10/4/2016,0.0,0.0,Non-Metro,LMI,0.0,311421,0.0,26.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,500000.0,26.0
AL_2016_LGP_147,10/6/2016,0.0,0.0,Metro,Non-LMI,5963901.0,311520,50.0,67.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,750000.0,67.0
